Place,Rating,Address,Describe,Time
Đền Ngọc Sơn,"4,4"," 2VJ2+7XC, P. Đinh Tiên Hoàng",Ngôi đền cổ kính trên hồ nước xinh đẹp, Đóng cửa lúc 18:00
Tượng Đài Vua Lý Thái Tổ,"4,6", 12 P. Lê Lai,Tượng đồng uy nghi trong khu vườn,Mở cả ngày
Hồ Gươm (Hoàn Kiếm),"4,7", 1-8 P. Lê Thái Tổ,Hồ nước nổi tiếng với đền thờ Nho giáo,Mở cả ngày
Khu Phố Cổ Hà Nội,"4,5", P. Hàng Ngang,"Khu vực bán thức ăn, có chợ và nhà ống",Mở cả ngày
Tháp nước Hàng Đậu,"4,3", Bốt Hàng Đậu,Bốt nước cổ kính với kiến trúc độc đáo,Mở cả ngày
Quảng trường Đông Kinh Nghĩa Thục,"4,5", 7 P. Đinh Tiên Hoàng,"Nơi đi bộ hằng đêm, có món ăn đường phố",Mở cả ngày
Chùa Quán Sứ,"4,6", 73 P. Quán Sứ,Ngôi chùa Phật Giáo có từ thế kỷ 15, Mở lúc 7:30 Đóng cửa lúc 17:30
Cung Văn hoá Lao động Hữu nghị Việt Xô,"4,2", 91,Trung tâm hội nghị rộng lớn kiểu Xô Viết, Đóng cửa lúc 22:00
Di tích Nhà tù Hỏa Lò,"4,5", 1 P. Hoả Lò,Bảo tàng tôn tạo từ nhà tù cũ, Mở lúc 8:00 Th 4
Bảo tàng Lịch sử Quốc gia,"4,3", 1 Tràng Tiền,Triển lãm thời tiền sử và hiện đại, Mở lúc 8:00 Th 4
Hoàng Thành Thăng Long,"4,4", 19c Hoàng Diệu,Hoàng thành từ thế kỷ 11, Mở l
Nhà hát Lớn Hà Nội, "4,6", 1 Tràng Tiền, Nhà hát lớn biểu diễn nhạc cổ điển xây năm 1911,''
Tháp nước Hàng Đậu, "4,3",  Bốt Hàng Đậu, 'Bốt nước cổ kính với kiến trúc độc đáo', 'Mở cả ngày'
Vườn hoa Lý Thái Tổ, "4,5",  P. Đinh Tiên Hoàng,'' , Mở cả ngày
Đền Bà Kiệu, "4,4", P. Đinh Tiên Hoàng,'',  Mở lúc 8:00 
Nhà Bát giác Hồ Gươm, "4,5", P. Lê Thạch,'', Mở cả ngày
Nhà Cổ Hà Nội, "3,5",  87 P. Mã Mây,'',  Mở lúc 0:00 Th 4
Đền thờ Vua Lê Thái Tổ, "4,6" , Điểm mốc lịch sử · 16 P. Lê Thái Tổ, '',Mở lúc 9:00 
Con Đường Gốm Sứ', "4,3", 11 P. Hàng Vôi, '',Đang mở cửa ⋅ Đóng cửa vào 17:00 
Hồ Hoàn Kiếm', "4,7", 'Hồ', 'Hồ nước với đền cầu và tháp, ''
Tháp Bút', "4,6", 59 P. Đinh Tiên Hoàng, '',Mở cả ngày
Đình Kim Ngân', "4,5",  44 P. Hàng Bạc,'',''
Hoàng Thành Thăng Long, "4,4", 19c Hoàng Diệu, 'Hoàng thành từ thế kỷ 11', Mở lúc 8:00 
Đình Kim Ngân, "4,5",  44 P. Hàng Bạc','',''
Đền Bạch Mã', "4,4", '76 P. Hàng Buồm', 'Ngôi đền lộng lẫy có từ thế kỷ 11',  Mở lúc 9:00 
Chùa Bà Đá', "4,5", 'Số 3 P. Nhà Thờ', 'Ngôi chùa yên tĩnh có từ thế kỷ 11',  Đóng cửa lúc 21:00
Chùa Lý Triều Quốc Sư, "4,4", 50 P. Lý Quốc Sư, 'Ngôi chùa thế kỷ 12 lộng lẫy',''
Nhà Lưu niệm Hồ Chí Minh', "4,2", 48 P. Hàng Ngang, Mở lúc 8:30 
Street Murals, "4,3", 27 P. Phùng Hưng,'', 'Mở cả ngày'
Vườn Hoa Hàng Đậu', "4,3", P. Phan Đình Phùng', '',Mở cả ngày
Quảng trường Cách mạng Tháng Tám', "4,6", Tràng Tiền,Mở cả ngày,''
Lăng Chủ tịch Hồ Chí Minh', "4,5",  1 Hùng Vương, Nơi an nghỉ cuối cùng của Bác Hồ,  Mở lúc 7:00 
Vườn hoa Con Cóc', "4,5", Công viên  P. Ngô Quyền, '',Mở cả ngày
Ta Hien Beer Street - Hanoi Old Quarter', "4,4",  Tạ Hiện P. Lương Ngọc Quyến ,  Mở lúc 19:00 
Cột cờ Hà Nội', "4,5",  28A Điện Biên Phủ, Cột cờ mang ý nghĩa lịch sử to lớn, Mở lúc 9:00 
Xe 2 tầng Hà Nội - Hop on hop off bus Vietnam Sightseeing', "4,9",'', 'Điểm thu hút khách du lịch', Đóng cửa lúc 20:00
Hồ Hoàn Kiếm', "4,7", 'Hồ',Cột cờ mang ý nghĩa lịch sử to lớn, Mở lúc 9:00 

